artist,title,album,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Libianca,People,People,2023-04-13T03:44:29Z,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791,5
Hoobastank,The Reason,The Reason (15th Anniversary Deluxe),2023-04-12T01:37:32Z,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,audio_features,77loZpT5Y5PRP1S451P9Yz,spotify:track:77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/tracks/77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/audio-analysis/77loZpT5Y5PRP1S451P9Yz,232800,4
Snarky Puppy,What About Me?,We Like It Here,2023-04-11T17:06:29Z,0.386,0.917,11,-8.089,0,0.103,0.0285,0.897,0.878,0.568,127.315,audio_features,1MglqgabKH4iSkw8xHJ0J9,spotify:track:1MglqgabKH4iSkw8xHJ0J9,https://api.spotify.com/v1/tracks/1MglqgabKH4iSkw8xHJ0J9,https://api.spotify.com/v1/audio-analysis/1MglqgabKH4iSkw8xHJ0J9,402267,4
Argy,Pantheon,Pantheon,2023-04-03T05:45:43Z,0.585,0.673,2,-8.274,1,0.0342,0.00062,0.284,0.205,0.0389,120.015,audio_features,2fY9O2PpELY5hubBbC2zEG,spotify:track:2fY9O2PpELY5hubBbC2zEG,https://api.spotify.com/v1/tracks/2fY9O2PpELY5hubBbC2zEG,https://api.spotify.com/v1/audio-analysis/2fY9O2PpELY5hubBbC2zEG,272255,4
Mark Lettieri,Spark and Echo,Spark and Echo,2023-03-29T04:04:12Z,0.372,0.776,0,-6.974,1,0.0521,0.00488,0.866,0.295,0.504,175.09,audio_features,48R2YqgIZk8jOfqZITT2yB,spotify:track:48R2YqgIZk8jOfqZITT2yB,https://api.spotify.com/v1/tracks/48R2YqgIZk8jOfqZITT2yB,https://api.spotify.com/v1/audio-analysis/48R2YqgIZk8jOfqZITT2yB,316110,3
Abhijith. P. S. Nair,Saraswati at Montreux,Saraswati at Montreux,2023-03-29T04:01:51Z,0.649,0.765,6,-9.189,0,0.0433,0.215,0.89,0.15,0.684,111.006,audio_features,58OQuuTf6o9xdyxrIiyryZ,spotify:track:58OQuuTf6o9xdyxrIiyryZ,https://api.spotify.com/v1/tracks/58OQuuTf6o9xdyxrIiyryZ,https://api.spotify.com/v1/audio-analysis/58OQuuTf6o9xdyxrIiyryZ,246216,4
Hillsong UNITED,Awesome God - Live,Look To You (Live),2023-03-28T23:32:19Z,0.363,0.662,6,-8.119,0,0.0694,0.0124,0,0.0964,0.139,139.945,audio_features,00AivYmu1UVmxM91uhR9lM,spotify:track:00AivYmu1UVmxM91uhR9lM,https://api.spotify.com/v1/tracks/00AivYmu1UVmxM91uhR9lM,https://api.spotify.com/v1/audio-analysis/00AivYmu1UVmxM91uhR9lM,318027,4
JVKE,golden hour,this is what falling in love feels like (554Hz),2023-03-23T23:32:57Z,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,audio_features,4yNk9iz9WVJikRFle3XEvn,spotify:track:4yNk9iz9WVJikRFle3XEvn,https://api.spotify.com/v1/tracks/4yNk9iz9WVJikRFle3XEvn,https://api.spotify.com/v1/audio-analysis/4yNk9iz9WVJikRFle3XEvn,209260,3
Vishal-Shekhar,Manchala,Hasee Toh Phasee (Original Motion Picture Soundtrack),2023-03-20T06:06:25Z,0.365,0.649,11,-5.295,0,0.0408,0.151,0,0.121,0.453,78.398,audio_features,3zAXHUL5YcYOA41rruvjy4,spotify:track:3zAXHUL5YcYOA41rruvjy4,https://api.spotify.com/v1/tracks/3zAXHUL5YcYOA41rruvjy4,https://api.spotify.com/v1/audio-analysis/3zAXHUL5YcYOA41rruvjy4,227507,4
Anuv Jain,Gul,Gul,2023-03-20T02:36:01Z,0.6,0.294,6,-12.301,1,0.0292,0.871,8.66e-05,0.102,0.342,86.97,audio_features,0NLkVxf0PyxsXBG3EuZcJf,spotify:track:0NLkVxf0PyxsXBG3EuZcJf,https://api.spotify.com/v1/tracks/0NLkVxf0PyxsXBG3EuZcJf,https://api.spotify.com/v1/audio-analysis/0NLkVxf0PyxsXBG3EuZcJf,217241,4
